election_year,term_start,mayor,vote_percentage,vote_count,perks,event,other_candidates
379,"October 21, 2024",Diaz,48%,"532,467.00","[4, 3, 1]",,"[{""mayor"": ""Aatrox"", ""vote_percentage"": ""27.3%"", ""vote_count"": ""302628""}, {""mayor"": ""Cole"", ""vote_percentage"": ""13.4%"", ""vote_count"": ""148892""}, {""mayor"": ""Diana"", ""vote_percentage"": ""8.8%"", ""vote_count"": ""97253""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""2.5%"", ""vote_count"": ""28232""}]"
378,"October 16, 2024",Paul,61.40%,"747,326.00","[1, 2, 3]",,"[{""mayor"": ""Foxy"", ""vote_percentage"": ""20.0%"", ""vote_count"": ""244202""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""8.8%"", ""vote_count"": ""107585""}, {""mayor"": ""Marina"", ""vote_percentage"": ""6.9%"", ""vote_count"": ""83717""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""2.9%"", ""vote_count"": ""35266""}]"
377,"October 11, 2024",Diana,63.50%,"603,850.00","[2, 3, 4]",,"[{""mayor"": ""Aatrox"", ""vote_percentage"": ""16.9%"", ""vote_count"": ""160218""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""12.4%"", ""vote_count"": ""118144""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""4.9%"", ""vote_count"": ""46930""}, {""mayor"": ""Cole"", ""vote_percentage"": ""2.2%"", ""vote_count"": ""21220""}]"
376,"October 6, 2024",Jerry,84.60%,"1,065,156.00","[1, 2, 3]",,"[{""mayor"": ""Diana"", ""vote_percentage"": ""6.5%"", ""vote_count"": ""81818""}, {""mayor"": ""Paul"", ""vote_percentage"": ""3.8%"", ""vote_count"": ""47360""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""3.0%"", ""vote_count"": ""37177""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""2.2%"", ""vote_count"": ""28078""}]"
375,"October 1, 2024",Finnegan,54.00%,"565,014.00","[4, 2, 1]",,"[{""mayor"": ""Marina"", ""vote_percentage"": ""21.1%"", ""vote_count"": ""220626""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""14.8%"", ""vote_count"": ""155362""}, {""mayor"": ""Paul"", ""vote_percentage"": ""5.8%"", ""vote_count"": ""60940""}, {""mayor"": ""Diana"", ""vote_percentage"": ""4.3%"", ""vote_count"": ""45227""}]"
374,"September 26, 2024",Aatrox,66.90%,"811,737.00","[1, 2, 3]",,"[{""mayor"": ""Foxy"", ""vote_percentage"": ""12.6%"", ""vote_count"": ""153353""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""9.2%"", ""vote_count"": ""110953""}, {""mayor"": ""Marina"", ""vote_percentage"": ""7.5%"", ""vote_count"": ""90970""}, {""mayor"": ""Diana"", ""vote_percentage"": ""3.7%"", ""vote_count"": ""45468""}]"
373,"September 20, 2024",Diaz,61.20%,"652,564.00","[4, 3, 2, 1]",,"[{""mayor"": ""Aatrox"", ""vote_percentage"": ""27.5%"", ""vote_count"": ""292697""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""5.4%"", ""vote_count"": ""57283""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""3.1%"", ""vote_count"": ""33011""}, {""mayor"": ""Paul"", ""vote_percentage"": ""2.8%"", ""vote_count"": ""30119""}]"
372,"September 15, 2024",Cole,48.30%,"639,274.00","[1, 2, 3]",,"[{""mayor"": ""Diaz"", ""vote_percentage"": ""24.9%"", ""vote_count"": ""329129""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""18.7%"", ""vote_count"": ""247138""}, {""mayor"": ""Marina"", ""vote_percentage"": ""4.8%"", ""vote_count"": ""63997""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""3.3%"", ""vote_count"": ""42995""}]"
371,"September 10, 2024",Paul,63.70%,"737,695.00","[1, 2, 3]",,"[{""mayor"": ""Foxy"", ""vote_percentage"": ""15.8%"", ""vote_count"": ""182991""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""13.0%"", ""vote_count"": ""150673""}, {""mayor"": ""Marina"", ""vote_percentage"": ""5.2%"", ""vote_count"": ""60590""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""2.3%"", ""vote_count"": ""26413""}]"
370,"September 5, 2024",Diana,34.10%,"443,787.00","[1, 2, 4]",,"[{""mayor"": ""Cole"", ""vote_percentage"": ""33.1%"", ""vote_count"": ""430913""}, {""mayor"": ""Paul"", ""vote_percentage"": ""14.8%"", ""vote_count"": ""193028""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""12.1%"", ""vote_count"": ""157656""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""5.9%"", ""vote_count"": ""76936""}]"
369,"August 31, 2024",Finnegan,46.00%,"538,914.00","[4, 1, 3]",,"[{""mayor"": ""Foxy"", ""vote_percentage"": ""23.0%"", ""vote_count"": ""269288""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""20.4%"", ""vote_count"": ""239356""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""5.5%"", ""vote_count"": ""64260""}, {""mayor"": ""Paul"", ""vote_percentage"": ""5.1%"", ""vote_count"": ""59692""}]"
368,"August 26, 2024",Derpy,82.40%,"1,161,501.00","[1, 2, 3, 4]",,"[{""mayor"": ""Diaz"", ""vote_percentage"": ""6.3%"", ""vote_count"": ""88644""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""5.0%"", ""vote_count"": ""70176""}, {""mayor"": ""Marina"", ""vote_percentage"": ""3.2%"", ""vote_count"": ""45144""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""3.1%"", ""vote_count"": ""43878""}]"
367,"August 20, 2024",Paul,54.80%,"661,378.00","[1, 2, 3]",,"[{""mayor"": ""Diana"", ""vote_percentage"": ""27.9%"", ""vote_count"": ""336842""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""10.4%"", ""vote_count"": ""125486""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""4.0%"", ""vote_count"": ""48013""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""2.9%"", ""vote_count"": ""35503""}]"
366,"August 15, 2024",Marina,44.20%,"601,644.00","[1, 2, 3]",,"[{""mayor"": ""Finnegan"", ""vote_percentage"": ""23.6%"", ""vote_count"": ""320578""}, {""mayor"": ""Paul"", ""vote_percentage"": ""15.2%"", ""vote_count"": ""207093""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""14.2%"", ""vote_count"": ""192567""}, {""mayor"": ""Cole"", ""vote_percentage"": ""2.8%"", ""vote_count"": ""38667""}]"
365,"August 10, 2024",Aatrox,62.70%,"781,281.00","[1, 2, 3]",,"[{""mayor"": ""Diana"", ""vote_percentage"": ""16.7%"", ""vote_count"": ""208314""}, {""mayor"": ""Marina"", ""vote_percentage"": ""13.1%"", ""vote_count"": ""162785""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""5.1%"", ""vote_count"": ""63873""}, {""mayor"": ""Paul"", ""vote_percentage"": ""2.3%"", ""vote_count"": ""29262""}]"
364,"August 5, 2024",Cole,57.20%,"800,787.00","[1, 2, 3, 4]",,"[{""mayor"": ""Diana"", ""vote_percentage"": ""18.5%"", ""vote_count"": ""259594""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""14.2%"", ""vote_count"": ""198775""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""7.3%"", ""vote_count"": ""102847""}, {""mayor"": ""Paul"", ""vote_percentage"": ""2.7%"", ""vote_count"": ""37905""}]"
363,"July 31, 2024",Diaz,39.30%,"509,271.00","[3, 2, 1]",,"[{""mayor"": ""Cole"", ""vote_percentage"": ""27.0%"", ""vote_count"": ""349732""}, {""mayor"": ""Diana"", ""vote_percentage"": ""22.6%"", ""vote_count"": ""292583""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""6.8%"", ""vote_count"": ""88709""}, {""mayor"": ""Marina"", ""vote_percentage"": ""4.4%"", ""vote_count"": ""57118""}]"
362,"July 26, 2024",Paul,42.10%,"608,906.00","[1, 2, 3]",,"[{""mayor"": ""Finnegan"", ""vote_percentage"": ""26.3%"", ""vote_count"": ""380405""}, {""mayor"": ""Diana"", ""vote_percentage"": ""15.5%"", ""vote_count"": ""224121""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""12.1%"", ""vote_count"": ""174694""}, {""mayor"": ""Cole"", ""vote_percentage"": ""3.9%"", ""vote_count"": ""56743""}]"
361,"July 20, 2024",Foxy,46.90%,"628,285.00","[3, 4]",,"[{""mayor"": ""Paul"", ""vote_percentage"": ""39.6%"", ""vote_count"": ""529884""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""9.5%"", ""vote_count"": ""126482""}, {""mayor"": ""Cole"", ""vote_percentage"": ""2.4%"", ""vote_count"": ""32397""}, {""mayor"": ""Diana"", ""vote_percentage"": ""1.6%"", ""vote_count"": ""21383""}]"
360,"July 15, 2024",Scorpius,79.70%,"1,304,413.00","[1, 2]",,"[{""mayor"": ""Foxy"", ""vote_percentage"": ""9.1%"", ""vote_count"": ""148507""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""7.1%"", ""vote_count"": ""116094""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""3.0%"", ""vote_count"": ""49719""}, {""mayor"": ""Marina"", ""vote_percentage"": ""1.0%"", ""vote_count"": ""16977""}]"
359,"July 10, 2024",Diana,65.70%,"910,943.00","[1, 2, 3, 4]",,"[{""mayor"": ""Finnegan"", ""vote_percentage"": ""21.0%"", ""vote_count"": ""291274""}, {""mayor"": ""Paul"", ""vote_percentage"": ""9.2%"", ""vote_count"": ""127641""}, {""mayor"": ""Cole"", ""vote_percentage"": ""2.6%"", ""vote_count"": ""36139""}, {""mayor"": ""Marina"", ""vote_percentage"": ""1.5%"", ""vote_count"": ""20722""}]"
358,"July 5, 2024",Diaz,59.50%,"967,089.00","[4, 3]",,"[{""mayor"": ""Diana"", ""vote_percentage"": ""33.2%"", ""vote_count"": ""538728""}, {""mayor"": ""Paul"", ""vote_percentage"": ""3.0%"", ""vote_count"": ""49255""}, {""mayor"": ""Cole"", ""vote_percentage"": ""3.0%"", ""vote_count"": ""48030""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""1.3%"", ""vote_count"": ""21201""}]"
357,"June 30, 2024",Marina,71.60%,"718,078.00",[],,"[{""mayor"": ""Aatrox"", ""vote_percentage"": ""15.2%"", ""vote_count"": ""152359""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""6.1%"", ""vote_count"": ""61170""}, {""mayor"": ""Diana"", ""vote_percentage"": ""5.8%"", ""vote_count"": ""57902""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""1.4%"", ""vote_count"": ""14043""}]"
356,"June 25, 2024",Paul,62.10%,"682,627.00","[2, 3]",,"[{""mayor"": ""Finnegan"", ""vote_percentage"": ""30.5%"", ""vote_count"": ""335591""}, {""mayor"": ""Diana"", ""vote_percentage"": ""3.3%"", ""vote_count"": ""35748""}, {""mayor"": ""Cole"", ""vote_percentage"": ""2.2%"", ""vote_count"": ""24038""}, {""mayor"": ""Marina"", ""vote_percentage"": ""1.9%"", ""vote_count"": ""21160""}]"
355,"June 19, 2024",Foxy,73.80%,"820,494.00","[2, 1, 3]",Spooky Festival,"[{""mayor"": ""Diana"", ""vote_percentage"": ""9.6%"", ""vote_count"": ""106448""}, {""mayor"": ""Paul"", ""vote_percentage"": ""7.2%"", ""vote_count"": ""80118""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""5.7%"", ""vote_count"": ""63680""}, {""mayor"": ""Cole"", ""vote_percentage"": ""3.6%"", ""vote_count"": ""40295""}]"
